PRIMARY_SAMPLE_UNIT,YEAR,MONTH,DAY,STATION_NR,LAT_DEGREES,LON_DEGREES,SAMPLE_DEPTH,UNDERWATER_VISIBILITY,MAPGRID_NR,HABITAT_CD,DEPTH_STRAT,SUB_REGION_NAME,ADMIN,SPECIES_NR,SPECIES_CD,LEN,NUM,TIME_SEEN,PROT,STRAT,REGION
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,7,ACA BAHI,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,7,ACA BAHI,20,0.5,2,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,8,ACA CHIR,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,8,ACA CHIR,14,0.5,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,9,ACA COER,5,0.5,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,9,ACA COER,10,0.5,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,9,ACA COER,14,0.5,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,9,ACA COER,15,2,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,9,ACA COER,20,1,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,9,ACA COER,24,0.5,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,9,ACA COER,25,0.5,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,13,AUL MACU,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,14,ALU SCHO,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,16,BAL CAPR,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,17,BAL VETU,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,18,CAN MACR,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,19,CAN PULL,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,20,CAN SUFF,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,21,MEL NIGE,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,21,MEL NIGE,20,0.5,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,21,MEL NIGE,22,1,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,21,MEL NIGE,24,0.5,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,29,OPH MACC,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,35,CAR BART,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,35,CAR BART,50,0.5,2,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,35,CAR BART,55,0.75,2,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,35,CAR BART,60,2.5,2,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,35,CAR BART,65,0.75,2,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,35,CAR BART,70,0.5,2,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,36,CAR CRYS,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,37,CAR HIPP,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,37,CAR HIPP,50,0.5,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,38,CAR LATU,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,38,CAR LATU,34,0,3,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,38,CAR LATU,37,0,3,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,39,CAR RUBE,35,0.5,2,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,39,CAR RUBE,36,0,3,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,40,DEC MACA,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,42,ELA BIPI,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,43,SER DUME,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,49,CHA OCEL,10,0.5,2,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,49,CHA OCEL,10,0,3,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,50,CHA SEDE,5,0.5,2,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,50,CHA SEDE,10,0.5,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,51,CHA STRI,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,52,AMB PINO,0,0,1,0,FGBNMS,GOM
7000,2024,7,30,1,27.87384,-93.8217,27.5844,12.5,14,HR,DEEP,WB,FGBNMS,64,DAS AMER,0,0,1,0,FGBNMS,GOM
